OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67200,KWIK TRIP #319,SR-13,Spencer,WI,395,3.47566666,44.7574876,-90.2987071
67202,KWIK TRIP #328,US-53 & SR-95,Blair,WI,295,3.23733333,44.2946235,-91.2338433
67206,KWIK TRIP #352,US-53,Chippewa Falls,WI,295,3.40733333,44.9439694,-91.4272785
67208,KWIK TRIP #363,US-14 & CR-O,Richland Center,WI,420,3.389,43.3355298,-90.3854141
67219,KWIK TRIP #455,US-8 & SR-27,Ladysmith,WI,295,3.27233333,45.4642517,-91.1008637
67226,KWIK TRIP #494,US-53 & SR-35,Onalaska,WI,515,3.33566666,43.8830606,-91.2343539
67229,KWIK TRIP #740,SR-15,Hortonville,WI,582,3.509,44.3350374,-88.639343
67233,KWIK TRIP #807,US-10,Brillion,WI,582,3.36566666,44.1828032,-88.0797573
67235,FLYING J TRAVEL PLAZA #507,I-35,Jarrell,TX,765,3.22066666,30.8275778,-97.6029717
67237,OUTPOST TRAVEL CENTER,US-79 & CR-111,Minden,LA,745,3.13233333,32.6154278,-93.2868354
67239,RELAY STATION,SR-1,Shreveport,LA,745,3.13233333,32.5135356,-93.7477839
67241,RELAY STATION 3,SR-175,Frierson,LA,745,3.259,32.2444827,-93.6911289
67245,SPEEDWAY #4582,US-378,Conway,SC,205,3.089,33.8343955,-79.0625578
67246,SPEEDWAY #7941,US-17 & SR-24,Jacksonville,NC,245,3.32566666,34.7509962,-77.4309829
67264,CIRCLE K #4707016,US-1,Princeton,ME,170,3.88233333,45.2026968,-67.5228179
67265,CIRCLE K #4707048,US-2,Lincoln,ME,170,3.73233333,45.3610701,-68.5200325
67271,KWIK TRIP #330,US-169 & SR-25,Belle Plaine,MN,451,3.379,44.622741,-93.7685729
67272,PILOT TRAVEL CENTER #922- TOWN PUMP,US-2 & SR-40,Columbia Falls                          ,MT,820,3.649,48.3697168,-114.191582
67275,KWIK TRIP #481,US-61,Red Wing                                ,MN,451,3.324,44.5607247,-92.4945086
67298,SPEEDWAY #5360,US-42,London,OH,315,3.099,39.8941238,-83.4417624
67308,FUEL STAR,SR-48,New Orleans,LA,619,3.279,29.9615712,-90.0270701
67311,HOLIDAY STATIONSTORE #2746409,US-53 & CR-13,Duluth,MN,334,3.499,46.7838287,-92.1052679
67313,Majors 660 Diboll Truck Plaza,US-59,Diboll                                  ,TX,610,2.83233333,31.1728328,-94.7715093
67316,LOVES TRAVEL STOP #302,US-287 & US-412,Boise City,OK,585,3.40233333,36.7297888,-102.513132
67334,KWIK TRIP #338,US-51,Plover,WI,395,3.299,44.3322112,-89.5233481
67338,HUTCH'S #114,US-81,Enid,OK,337,2.999,36.3964458,-97.8902197
67343,EAGLE EXPRESS,US-41,Peshtigo,WI,360,3.399,45.0846095,-87.6567477
67348,LOVES TRAVEL STOP #389,I-90 EXIT 241,Conneaut,OH,305,3.849,41.9248886,-80.5535434
